GRANTEE,OWNER,TABLE_NAME,GRANTOR,PRIVILEGE,GRA,HIE,COM,TYPE,INH
AQ_ADMINISTRATOR_ROLE,WMSYS,AQ$WM$EVENT_QUEUE_TABLE_R,WMSYS,SELECT,NO,NO,NO,VIEW,NO
AQ_ADMINISTRATOR_ROLE,WMSYS,AQ$WM$EVENT_QUEUE_TABLE_S,WMSYS,SELECT,NO,NO,NO,VIEW,NO
AQ_USER_ROLE,SYS,AQ$_UNFLUSHED_DEQUEUES,SYS,SELECT,NO,NO,NO,VIEW,NO
AQ_USER_ROLE,SYS,DBMS_AQJMS_INTERNAL,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AQ_USER_ROLE,SYS,DBMS_TRANSFORM,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDIT_ADMIN,AUDSYS,CDB_XS_AUDIT_TRAIL,AUDSYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,AUDSYS,DBA_XS_AUDIT_TRAIL,AUDSYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,CDB_COMMON_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,CDB_FGA_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,CDB_ROLES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,CDB_XS_AUDIT_POLICY_OPTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,CDB_XS_ENABLED_AUDIT_POLICIES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_COMMON_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_FGA_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_OBJECTS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_OBJECTS_AE,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_ROLES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_USERS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_XS_AUDIT_POLICY_OPTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,DBA_XS_ENABLED_AUDIT_POLICIES,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$ASM_AUDIT_CLEANUP_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$ASM_AUDIT_CLEAN_EVENTS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$ASM_AUDIT_CONFIG_PARAMS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$ASM_AUDIT_LAST_ARCH_TS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$ASM_AUDIT_LOAD_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,GV_$UNIFIED_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$ASM_AUDIT_CLEANUP_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$ASM_AUDIT_CLEAN_EVENTS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$ASM_AUDIT_CONFIG_PARAMS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$ASM_AUDIT_LAST_ARCH_TS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$ASM_AUDIT_LOAD_JOBS,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$UNIFIED_AUDIT_RECORD_FORMAT,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_ADMIN,SYS,V_$UNIFIED_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,AUDSYS,CDB_XS_AUDIT_TRAIL,AUDSYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,AUDSYS,DBA_XS_AUDIT_TRAIL,AUDSYS,READ,NO,NO,NO,VIEW,NO
AUDIT_VIEWER,SYS,CDB_COMMON_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
